title,image 1,image 2,image 3,msrp,price,saving,calibration optional 1,calibration optional 2,calibration optional 3,Description paragraph 1,Description paragraph 2,Description paragraph 3,Description Features point 1,Description Features point 2,Description Features point 3,Description Features point 4,Description Features point 5,Description Features point 6,Description Features point 7,Description Features point 8,Description Features point 9,Description Features point 10,Description Features point 11,Description Features point 12,Description Features point 13,Description Features point 14,Description Features point 15,Description Features point 16,Description Features point 17,Description Features point 18,Description Features point 19,Description Features point 20,Description Features point 21,Description Features point 22,Description Features point 23,Description Features point 24,Description Features point 25,Description Features point 26,Description Features point 27,Description Features point 28,Description Features point 29,Description Features point 30,Description Applications point 1,Description Applications point 2,Description Applications point 3,Description Applications point 4,Description Applications point 5,Description Applications point 6,Description Applications point 7,Description Applications point 8,Description Applications point 9,Description Applications point 10,Description Applications point 11,Description Applications point 12,Description Applications point 13,Description Applications point 14,Description document link 1,Description document link 2,Product video 1,warranty information,Specification Capacity,Specification Readability,Specification Certified Readability,Specification Repeatability std,Specification Linearity,Specification Calibration,Specification NTEP,Specification Class,Specification CC,Specification Other Approvals,Specification Stabilization Time,Specification Sensitivity Drift (ppm/°C),"Specification Minimum Weight (USP), Typical",Specification Pan Size,Specification Automatic Doors,Specification Weighing Units,Specification Tare Range,Specification Construction,Specification Communication,Specification Display Type,Specification Overall Dimensions (W x H x D),Specification Weight,Specification Operating Temperature,Specification Power,Specification Brand,Specification Model,URL,Description Applications  point 1,Specification Repeatability,Specification Weighing Pan Dimensions,Specification IP Rating,Specification Measure Units,Specification Overall Dimensions,image 4,image 5,Specification Repeatability (Std Dev),Specification Calibration Weight Recommended,Specification Minimum Weight,Specification Minimum Weight USP,Specification Overall Dimensions (W x D x H),Description Applications  point 2,Description Applications  point 3,Specification Span Drift,Specification Operating Temp,Specification Sample Quantities,Specification Max Count for Counting Mode,Specification Minimum Unit Weight for Counting,Specification Display Update,Specification Weight of scale,Specification Approvals,Specification Verification Interval e,Specification Certified Weighing Units,Description Applications  point 4,Description Applications  point 5,Specification NTEP CC#,Specification NTEP Capacity x Readability,Description paragraph 4,Description paragraph 5,Description Features point 31,Description Features point 32,Specification Draft Shield,Specification Sensitivity Drift (ppm/C),image 6,Description document link 3,Specification Digit Height,Specification Battery Life,Specification Net Weight,Specification Electrical Safety,Specification First Capacity Range,Specification Second Capacity Range,Specification Third Capacity Range,Specification First Range Readability,Specification Second Range Readability,Specification Third Range Readability,Specification Certified Readability (e),Description Features  point 1,Description Features  point 2,Description Features  point 3,Description Features  point 4,Description Features  point 5,Description Features  point 6,Description Features  point 7,Description Features  point 8,Description Features  point 9,Description Features  point 10,Description Features  point 11,Specification NTEP CC,Specification Measurement Canada,Description Applications  point 6,Specification NTEP Approved Readability,Specification External Calibration Mass,Specification Available Sample Sizes for Counting,Specification Minimum 100% Reference Mass for Percentage Mode,Specification Minimum 100% display for Percentage Mode,Specification Sample Refresh Rate,Specification Pan Dimensions,Specification Water and Dust-proof rating,description heading,Specification Overall Dimensions (W x D x H) with column vertical,Specification Sensitivity Drift (ppm/�C)
"OHAUS Explorer EX6202N/E Precision Balance, 6200 g x 0.01 g, NTEP, Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/11969/31475/ohaus-ex6202ne-explorer-precision-balance-6200-g-x-0.01-g-external-cal-certified-0.01-g-ntep-class-ii__02843.1725642742.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/11969/30860/ohaus-ex6202ne-explorer-precision-balance-6200-g-x-0.01-g-external-cal-certified-0.01-g-ntep-class-ii__33385.1725642743.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/11969/30047/ohaus-ex6202ne-explorer-precision-balance-6200-g-x-0.01-g-external-cal-certified-0.01-g-ntep-class-ii__16489.1725642744.jpg?c=2,"$4,679.00","$3,977.15",$701.85,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00",OHAUS Explorer precision balances are packed with features that provide superior weighing performance and results. An intuitive icon-driven menu guides the operator through all of Explorer's functions by way of a large 5.7 inch color touchscreen display. Explorer features a modular design allowing the display to be separated from the base of the balance. This allows flexibility while also further isolating the weighing chamber from environmental disturbances like vibration. The modular design also allows the operator to use the balance inside of a fume hood while operating the display from outside. Four touchless IR sensors allow the operator to complete common tasks without touching the balance. This reduces the need to touch the balance during operation therefore reducing vibrations and prolonging the life of the balance through less physical contact.,"OHAUS SmarText 2.0 Software utilizes graphical icons and messages to prompt the operator through the menu. This makes Explorer exceptionally simple to use, reducing the amount of time needed for training. Instructional messages guide the user through setup and calibration right out of the box. Once setup is complete, the user can easily navigate through 14 different weighing applications supported by Explorer. Minimum weight indicator shows prominently on the display ensuring samples meet minimum weight requirements per quality guidelines. Up to 14 languages are supported providing additional flexibility.",The EX6202N/E is NTEP and Measurement Canada approved for use in legal for trade applications. This model is NTEP Class II with an approved division of 0.1 gram. ,NTEP Class II approved,Modular design allows separation of the display from the weighing base which offers flexibility and improved accuracy,"Brilliant 5.7"" color touchscreen display with SmarText 2.0 graphical software featuring icon-driven software",Audible and visual feedback for touch screen input commands as well as checkweighing status,AutoCal automatic internal calibration performs routine calibration based on preset and user defined parameters,Explorer supports 14 weighing applications making it one of the most flexible analytical balances on the market,4 touchless infrared sensors (IR) can be programmed for hands-free operation of common tasks,"User-friendly setup, calibration and operation through prompts and messages displayed on-screen","Fast stabilization times, up to 50% faster than other balances, improves productivity and throughput",Advanced vibration filtering offers exceptional balance stability in various environments,Superior shock resistance protects against disruptions in service caused by bumps and sudden movements,Minimum weight capability with visual warning feature on display,Password protected user manager with administrator capability,Expanded communication interface includes RS232 and 2 x USB with optional extra RS232 or Ethernet,Up to 14 operating languages provide flexibility and intuitive user setup,Convenient user information menu allows user to learn about all of Explorer's features,Up-front illuminated level indicator combined with level assist on screen ensures proper balance setup,Feet are adjustable using unique thumbwheels that make it easy to level the balance,"Durable construction; Metal base, ABS top housing, stainless steel pan",User selectable communication settings and data print options,GLP/GMP data output with real-time clock,User definable project and user IDs,Integrated weigh below hook for under balance weighing and density determination,Security bracket helps protect against unwarranted removal of the balance,User selectable span calibration points,"Software lockout, calibration lock and reset menu",Selectable environmental filters,Auto standby,Auto tare,External calibration using test standards,Weighing,Percent weighing,Differential weighing,Filling,Formulation,Dynamic weighing,Peak hold,Parts counting,Density determination,Totalization,Pipette adjustment,Ingredient costing,Checkweighing,Statistical quality control (SQC),https://store-errhy7umuu.mybigcommerce.com/content/Ohaus%20Manuals/EX/EX_NTEP_Datasheet_USCA.pdf,https://store-errhy7umuu.mybigcommerce.com/content/Ohaus%20Manuals/EX/83021171_M_Explorer_IM_EN.pdf,www.youtube.com/embed/VTQRw0KNV50,2 year manufacturer's limited warranty,6200 g,0.01 g / 10 mg,0.1 g,± 0.01 g / 10 mg,± 0.02 g / 20 mg,External calibration,Yes,II,12-012,"Measurement Canada Approved, AM-5847",< 1 s,3,8.2 g,"7.5 "" x 8"" / 190 x 200 mm",NA,"Gram, Milligram, Kilogram, Carat, Ounce, Ounce Troy, Pound, Pennyweight, Grain, Newton, Momme, Mesghal, Hong Kong Tael, Singapore Tael, Taiwan Tael, Tical, Tola, Baht, Custom Unit 1, Custom Unit 2, Custom Unit 3",To capacity by subtraction,"Metal base, ABS top housing, Stainless steel pan, Modular design","RS232, 2 x USB (optional 2nd RS232 or Ethernet)","5.7"" Full-color VGA graphic display, 4-wire resistive touch screen","9.1"" x 3.9"" x 15.5"" / 230 x 98 x 393 mm",11 lb / 5 kg,"50° to 86° F / 10° to 30° C; 85% relative humidity, non-condensing",AC adapter,OHAUS,EX6202N/E,https://www.scalesplus.com/ohaus-explorer-ex6202n-e-precision-balance-ntep/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A&D Weighing HL-300WP Portable Washdown Balance, 300 g x 0.1 g",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/7004/39354/aandd-weighing-hl-300wp-portable-washdown-balance-300-g-x-0.1-g__23909.1722270093.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/7004/40007/aandd-weighing-hl-300wp-portable-washdown-balance-300-g-x-0.1-g__68366.1722270096.jpg?c=2,,$490.00,$330.75,$159.25,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00",The A&D HL-WP series is fully stainless steel and features an IP67 rating. This means that it is completely dust and can be used in any food grade applications. The HL can be used with six AA batteries or with an Adapter. (both not included) The simplicity of the balance allows for an operator to use the scale with little to no training.,,,Stainless steel construction,IP67 rated NEMA-4X,NSF listed,Small footprint,Completely waterproof for easy cleaning ,Portable ,Stability indicator,Tare function,Auto power off,Powered by 6 AA batteries or an Adapter (both not included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.scalesplus.com/content/A%26D/Portable/HL-WP%20Lit.pdf,https://www.scalesplus.com/content/A%26D/Portable/HL-WP.pdf,,2 year manufacturer's limited warranty,300 g,0.1 g,,,±0.1 g,,,,,,,,,,,,,,,Clear LCD display,,,-10°C - 40°C (35°C for NTEP) / 14°F - 104°F (95% for NTEP) RH less than 85%,6 AAA batteries or AC adapter (both not included),A&D Weighing,HL-300WP,https://www.scalesplus.com/a-d-weighing-hl-300wp-portable-washdown-balance/,Weighing,0.1 g,"128 mm x 128 mm / 5"" x 5""",IP67,"grams, oz",236 x 260 x 148 mm / 9.3 x 10.2 x 5.8 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHAUS PR5202N/E Precision Balance, 5200 g x 0.01 g, NTEP, Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/2789/45784/ohaus-pr5202ne-pr-series-precision-balance-5200-g-x-0.01-g-ntep-class-ii__85779.1726257233.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/2789/44735/ohaus-pr5202ne-pr-series-precision-balance-5200-g-x-0.01-g-ntep-class-ii__96992.1726257236.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/2789/45540/ohaus-pr5202ne-pr-series-precision-balance-5200-g-x-0.01-g-ntep-class-ii__89472.1726257250.jpg?c=2,"$1,749.00","$1,486.65",$262.35,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00","OHAUS PR Series balances offer NTEP certification and Measurement Canada approval for legal-for-trade applications that require it. These are ideally suited for pharmacies, jewelers and medicinal suppliers that often require precision weighing with the added NTEP certification. PR Series precision balances offer affordability, user-friendly operation and durability all in one package. Three weighing applications are supported simplifying the user experience by stripping out unnecessary functions.","Virtually zero training is required to begin using PR series precision balances. A simple four button keypad, intuitive navigation and a large bright display make operation a breeze. Connect easily to point-of-sale systems (POS), computers and printers using the standard RS232 communication port. Operators can choose what data to print including product IDs, user IDs, weight and more. ",,NTEP certified and Measurement Canada approved for legal-for-trade applications,"Designed for work places that require NTEP certification such as pharmacies, jewelers and more",User-friendly operation with simple 4 button keypad and intuitive navigation,"Supports 3 essential weighing applications including general weighing, parts counting and percent weighing","RS232 communication ports for connection to point-of-sale systems, PCs and printers",Durable design holds up to demanding and consistent use,Removable stainless steel pan makes cleaning a breeze,Large LCD display with bright white backlight,User selectable data printing and format,External calibration with user specified span calibration points,Auto tare and auto dimming,Software and calibration lock,Integral security lock slot (for Kensington style locks),Up-front level indicator helps ensure balance is level,Durable construction with ABS housing and stainless steel weighing pan,Supports multiple weighing units,NTEP Class II,CC 18-110A1,,,,,,,,,,,,,Weighing,Parts counting,Percent weighing,,,,,,,,,,,,https://www.scalesplus.com/content/Ohaus%20Manuals/PR/PR%20Series%20Datasheet.pdf,https://www.scalesplus.com/content/Ohaus%20Manuals/PR/PR%20Series%20Manual.pdf,,2 year manufacturer's warranty,5200 g,0.01 g,0.1 g,,0.02 g,External,Yes,II,,,1 s,,,7.09 in,,"g, kg, ct, dwt, grain, oz, ozt, lb",,"Plastic housing, stainless steel pan",RS232,Backlit LCD,,7.7 lb,50°F to 86°F,AC adapter,OHAUS,PR5202N/E,https://www.scalesplus.com/ohaus-pr5202n-e-precision-balance-ntep/,,,,,,,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/2789/43430/ohaus-pr5202ne-pr-series-precision-balance-5200-g-x-0.01-g-ntep-class-ii__35804.1726257251.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/2789/43626/ohaus-pr5202ne-pr-series-precision-balance-5200-g-x-0.01-g-ntep-class-ii__34651.1726257253.jpg?c=2,0.01 g,5000 g OIML F1 or ASTM Class 4,8.2 g,20 g,7.9 x 12.5 x 3.7 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A&D Weighing Everest EK-12Ki Compact Balance, 12000 g x 1 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1153/48334/aandd-weighing-ek-12ki-everest-compact-balance-12000-g-x-1-g-ntep-class-ii__01890.1721748679.jpg?c=2,,,$825.00,$590.29,$234.71,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00","A&D Weighing Everest Compact Balances are ideal for many different laboratory and industrial applications. The durable compact balances comes with overload protection, a stainless steal pan, integrated level bubble, sealed keypad, and a bright LCD display. The Everest features newer style electronics and 9 different built in weighing units.  ",The EK-12Ki Everest compact balance is NTEP certified. It can be placed in service and used in legal for trade applications.,,Stainless steel weighing pan,Adjustable leveling feet,Large 16 mm LCD display ,Integrated level bubble ,Sealed keypad with 5 button navigation,Overload protection,"Control zero, mode selections, and data output with RS-232",Security ring to prevent theft,Easy to install optional battery power (Ni-MH) ,"Standard compactor function, HI/OK/LO annunciation",Counting function with automatic counting accuracy improvement ,External calibration with user selected mass,Compact low profile design ,Conforms to GLP,Auto Power-Off,Multiple weighing units,"Status indicators for battery, stable, zero, and net",NTEP Class II,CC 04-019A1,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.scalesplus.com/content/A%26D/Precision%20Balances/Everest_EWEK_Lit.pdf,https://www.scalesplus.com/content/A%26D/Precision%20Balances/EKW-i_Instruction_Manual.pdf,,5 year manufacturer's warranty,12000 g,1 g,,,1 g,"External, with user-selectable calibration weight",Yes,II,,,2 seconds,,,"5.2""  x 6.7"" / 133 mm x 170 mm",,"g, oz, lb, ozt, ct, mom, dwt, grain",,"Plastic housing, stainless steel pan, sealed keypad",RS-232,LCD,,,,"AC adapter, optional battery",A&D Weighing,EK-12Ki,https://www.scalesplus.com/a-d-weighing-everest-ek-12ki-compact-balance-ntep/,General Weighing,1 g,,,,,,,,,,,"7.5"" x 8.6"" x 2.2"" / 190 mm x 218 mm x 55 mm",Parts Counting,Percentage Weighing,"20 ppm/°C, 10°C - 30°C / 50°F - 86°F","-10°C to 40°C / 14°F to 104°F, 85%RH or lower (No condensation)","5, 10, 25, 50 or 100","12,000",1 g,Approx. 10 times per second,2.4 lbs / 1.1 kg,NTEP 04-019A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A&D Weighing Everest EK-600i Compact Balance, 600 g x 0.1 g, NTEP Class III",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1146/46935/aandd-weighing-ek-600i-everest-compact-balance-600-g-x-0.1-g-ntep-class-iii__65355.1721748014.jpg?c=2,,,$595.00,$425.72,$169.28,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00","A&D Weighing Everest Compact Balances are ideal for many different laboratory and industrial applications. The durable compact balances comes with overload protection, a stainless steal pan, integrated level bubble, sealed keypad, and a bright LCD display. The Everest features newer style electronics and 9 different built in weighing units.  ",The EK-600i Everest compact balance is NTEP certified. It can be placed in service and used in legal for trade applications.,,Stainless steel weighing pan,Adjustable leveling feet,Large 16 mm LCD display ,Integrated level bubble ,Sealed keypad with 5 button navigation,Overload protection,"Control zero, mode selections, and data output with RS-232",Security ring to prevent theft,Easy to install optional battery power (Ni-MH) ,"Standard compactor function, HI/OK/LO annunciation",Counting function with automatic counting accuracy improvement ,External calibration with user selected mass,Compact low profile design ,Conforms to GLP,Auto Power-Off,Multiple weighing units,"Status indicators for battery, stable, zero, and net",NTEP Class III,CC 04-019A1,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.scalesplus.com/content/A%26D/Precision%20Balances/Everest_EWEK_Lit.pdf,https://www.scalesplus.com/content/A%26D/Precision%20Balances/EKW-i_Instruction_Manual.pdf,,5 year manufacturer's warranty,600 g,0.1 g,,,0.1 g,"External, with user-selectable calibration weight",Yes,III,,,2 seconds,,,"5.2""  x 6.7"" / 133 mm x 170 mm",,"g, oz, lb, ozt, ct, mom, dwt, grain",,"Plastic housing, stainless steel pan, sealed keypad",RS-232,LCD,,,,"AC adapter, optional battery",A&D Weighing,EK-600i,https://www.scalesplus.com/a-d-weighing-everest-ek-600i-compact-balance-ntep/,General Weighing,0.1 g,,,,,,,,,,,"7.5"" x 8.6"" x 2.2"" / 190 mm x 218 mm x 55 mm",Parts Counting,Percentage Weighing,"20 ppm/°C, 10°C - 30°C / 50°F - 86°F","-10°C to 40°C / 14°F to 104°F, 85%RH or lower (No condensation)","5, 10, 25, 50 or 100","6,000",0.1 g,Approx. 10 times per second,2.4 lbs / 1.1 kg,NTEP 04-019A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHAUS Adventurer AX4202N/E Precision Balance, 4200 g x 0.01 g, NTEP",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/342/50213/ohaus-ax4202ne-adventurer-precision-balance-4200-g-x-0.01-g-ntep-class-ii__88483.1723837883.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/342/50328/ohaus-ax4202ne-adventurer-precision-balance-4200-g-x-0.01-g-ntep-class-ii__34427.1723837885.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/342/49849/ohaus-ax4202ne-adventurer-precision-balance-4200-g-x-0.01-g-ntep-class-ii__81033.1723837886.jpg?c=2,"$2,574.00","$2,187.90",$386.10,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00","OHAUS Adventurer precision balances are a leader in their class! Adventurer offers comprehensive features and capabilities suited for a wide range of weighing tasks in laboratory, educational and industrial applications. They offer reliable and accurate weighing, fast stabilization and GLP/GMP compliance capabilities. The large color touchscreen operates similarly to a smart phone with an icon driven menu. This makes operation and navigation feel familiar allowing new users to operate the balance with little training! Adventurer's touchscreen can be operated while wearing gloves which saves time having to remove them and also protects the operator from potential hazards associated with removing the gloves. Six mechanical keys are used to perform common tasks such as tare, zero, calibration and print. ","Adventurer precision balances feature a highly intelligent draft shield design. The two-piece draft shield doors reduce the footprint of the balance when fully open and provide plenty of space to place samples on the weighing pan. An expanded communication interface allows convenient connectivity to PCs, printers and other devices. Adventurer comes standard with RS232, USB device and USB host with the USB host conveniently located at the front of the balance.","Models that include ""N"" feature NTEP and Measurement Canada approval for legal-for-trade applications.",NTEP Approved and Measurement Canada approval for legal for trade use,"Large 4.3"" color touchscreen display is user friendly and makes navigation a breeze",Brilliantly designed space-saving draft shield with two-piece top-mounted doors,Fast stabilization times improve productivity and sample throughput,Adventurer supports multiple weighing modes and measurement units,GLP/GMP compliant data output with real-time clock,"Communication interface includes RS232, USB device and USB host",USB host on front of balance makes storing data more convenient without having to reach around or move the balance,"GLP data can record sample name, project name and balance ID",Balance profile cloning feature allows you to save user profiles to a USB flash drive and duplicate onto other Adventurer balances,Below minimum sample weighing indication on display shows when your sample weighing is below your defined minimum limit,Touchscreen can be operated while wearing gloves,"Durable construction includes metal base, ABS housing and stainless steel pan",Illuminated up-front level bubble ensures proper balance setup,Integral weigh below hook for under balance weighing and density determination,User selectable environmental filters,"Software lockout, reset menu and calibration lock",User definable project and user IDs,Adventurer supports up to 9 operating languages,Integrated security brackets prevent unwarranted removal of the balance,User selectable communication settings and data print options,Software overload and underload indicators,Audible indicator,User selectable display brightness settings,Auto tare,NTEP Class II,NTEP CC 14-082A3,,,,Weighing,Parts counting,Percent weighing,Density determination,Dynamic weighing,Checkweighing,Totalization / Statistic,Formulation,,,,,,,,,www.youtube.com/embed/-JxoQinXwyc,2 year manufacturer's limited warranty,4200 g,0.01 g / 10 mg,0.1 g,± 0.01 g / 10 mg,± 0.02 g / 20 mg,External calibration,Yes,II,,,<1.5 s,3,20 g,"6.9"" x 7.7"" / 175 x 195 mm",,"gram, milligram, pound, mesgal, momme, Newton, ounce, pennyweight, Baht, carat, grain, Tael (Hong Kong), Tael, (Singapore), Tael (Taiwan), tical, tola, troy ounce, custom (1)",To capacity by subtraction,"Metal base, ABS housing, Stainless steel pan","RS232, USB Device, USB Host","Full-color Touchscreen Graphic Display, 4.3""","13.9"" x 3.9"" x 9"" / 354 x 100 x 230 mm",10.2 lb / 4.6 kg,"50° to 85° F / 10° to 30° C at 10% to 80% relative humidity, non-condensing",AC adapter,OHAUS,AX4202N/E,https://www.scalesplus.com/ohaus-adventurer-ax4202n-e-precision-balance-ntep/,,,,,,,,,,,,,,,,,,,,,,,,0.1 g,"ct, grain, g, oz, ozt, dwt, lb, kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A&D Weighing FX-300iN Precision Balance, 320 g x 0.001 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1172/49278/aandd-weighing-fx-300in-precision-balance-320-g-x-certified-0.01-g-ntep-class-ii__33531.1727199192.jpg?c=2,,,"$1,345.00",$941.50,$403.50,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00","A&D Weighing FX-300iN NTEP certified precision balances offer reliable precision weighing. A&D patented Compact SHS (super hybrid sensor) allows superior performance in a small footprint. The FX-300iN balance provides versatile weighing functions, covering a variety of industries, including legal-for-trade applications where goods are sold by weight. FX-300in NTEP balances conform to Handbook 44 changes where e=d.", ,,FX-iN series is e = d to conform to changes in Handbook 44,Adjustable leveling feet and integrated level bubble ,Easy-to-read Vacuum Fluorescent Display (VFD),Standard RS-232 communication with optional USB ,Security ring to prevent theft,AC powered with optional battery power,Under hook weighing ,Hold function to freeze the current weight displayed,Counting function with automatic counting accuracy improvement ,Compact low-profile design ,"Conforms to GLP, GMP, GCP, ISO",SCF - Statistical Calculation Function,Auto Power-Off,Multiple weighing units,NTEP Class II,CC 08-045A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.scalesplus.com/content/A%26D/Precision%20Balances/FZiFXi-Brochure.pdf,https://www.scalesplus.com/content/A%26D/Precision%20Balances/FX_FZ-i_Instruction%20Manaul.pdf,,5 year manufacturer's warranty,320 g,0.001 g,0.01 g,,,External calibration,Yes,II,,,"Programmable, Can be as fast as 1 second",,,"5.1"" / 130 mm diameter",,"g, oz, lb, lb-oz, ozt, ct, mom, dwt, GN, tl, tol, mes, pcs, %, MLT",,,RS-232,Vacuum Fluorescent Display,,,,"AC adapter, optional battery",A&D Weighing,FX-300iN,https://www.scalesplus.com/a-d-weighing-fx-300in-precision-balance,General Weighing,,,,,,,,,,,,"7.6"" x 10.3"" x 3.3"" /  193 mm x 262.5 mm x 84.5 mm",Parts Counting,Percentage Weighing,2 ppm/°C,"5°C to 40°C / 41°F to 104°F, 85%RH or lower (No condensation)","5, 10, 25, 50 or 100",,,5 / 10 / or 20 times per second,5.5 lb / 2.5 kg,,,,Checkweighing,Dynamic Weighing,08-045A2,320 g x 0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
