title,image 1,msrp,price,saving,calibration optional 1,calibration optional 2,calibration optional 3,description heading,Description paragraph 1,Description paragraph 2,Description Features point 1,Description Features point 2,Description Features point 3,Description Features point 4,Description Features point 5,Description Features point 6,Description Features point 7,Description Features point 8,Description Features point 9,Description Features point 10,Description document link 1,Description document link 2,Product video 1,warranty information,Specification Capacity,Specification Readability,Specification Certified Readability,Specification NTEP,Specification Class,Specification Pan Size,Specification Weighing Units,Specification Construction,Specification Calibration,Specification Communication,Specification Display Type,Specification Overall Dimensions,Specification Approvals,Specification Power,Specification Brand,Specification Model,URL,image 2,image 3,image 4,image 5,image 6,Description Applications point 1,Description Applications point 2,Description Applications point 3,Description Applications point 4,Description document link 3,Specification Repeatability,Specification Linearity,Specification Stabilization Time,Specification Draft Shield,Specification Digit Height,Specification Operating Temperature,Specification Battery Life,Specification Net Weight,Specification Overall Dimensions (W x D x H),Specification Electrical Safety
"Rice Lake TE-223 Tuning Fork Precision Balance, 220 g X 0.001 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/7683/35219/rice-lake-weighing-systems-rice-lake-te-223-tuning-fork-precision-balance-220-g-x-0.001-g-ntep-class-ii__39232.1655244102.jpg?c=2,"$1,197.00","$1,137.15",$59.85,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00","Rice Lake TE Series TE-223 Tuning Fork Balance, NTEP Class II","Experience performance with Rice Lake’s enhanced TE Series balance.This NTEP approved balance creates an effortless user experience complete with a wide variety of functions, glass breeze break and configurable user keys. Equipped with Mono-Metal Tuning Fork Sensor (MMTS), the TE series brings remarkable response time and stability to many settings. The compact design of the TE Series balance makes it perfect for crowded work environments and portability. Powered by AC, AA batteries or USB, the TE series delivers convenience in a small package.","The TE series’ unique patented tuning fork technology provides stability with an extremely small margin of error. Cutting startup time by 90 percent, this technology eliminates the need for stabilization time while maintaining exceptional accuracy. The TE Series has remarkable programming flexibility with a large selection of modes to fit various weighing needs. Enhance productivity with functions such as unit count, percentage, gravimeter, statistics, animal, formulation and coefficient. The TE series adapts to any type of standard with the ability to weigh in 12 different measurement units providing superior performance.",External weight calibration,Seven-segment (main)/16-segment (sub) display,"Selectable modes: Weighing, Counting, Percentage, Coefficient, Specific Gravity, Statistics, Animal and Formulation",Mono-metal tuning fork technology (MMTF) provides quick response and stability,30-step bar graph display,"RS232, USB B",100-240 VAC adapter included,"AA dry-cell port, (150 hours continuous use with LCD backlight and communication signal ON)",Glass breeze break,NTEP Certified (COC 17-104),https://www.scalesplus.com/content/Rice%20Lake%20Manuals/Tuning%20Fork%20Balances/TE%20Series/TE%20Series%20Datasheet.pdf,https://www.scalesplus.com/content/Rice%20Lake%20Manuals/Tuning%20Fork%20Balances/TE%20Series/TE%20Series%20Manual.pdf,www.youtube.com/embed/ZvR8-XgF460,5 year manufacturer's limited warranty,220 g,0.001 g,0.01 g,Yes,II,4.6 in Dia.,"g, ct, oz, ozt, lb, dwt, gr, mm, bat, miligrams, Hong Kong Tael, Singapore Tael, Taiwan Tael, Malaysia Tael, tola","Plastic housing, stainless steel pan",Span with external weight,"RS232, USB B",Backlit LCD,10.6 in x 8.1 in x 11.8 in,NTEP CC 17-104,AC adapter,Rice Lake,TE-223,https://www.scalesplus.com/rice-lake-te-223-tuning-fork-precision-balance-220-g-x-0-001-g-ntep-class-ii/,,,,,,,,,,,,,,,,,,,,
"Adam Equipment Highland HCB 5001aM Portable Precision Balance, 5000 g x 0.5 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1496/46676/adam-equipment-hcb-5001am-highland-portable-precision-balance-5000-g-x-0.5-g-ntep-class-ii__87267.1665795132.jpg?c=2,$655.00,$511.00,$144.00,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00",,"The NTEP-approved Adam Equipment Highland balance meets Class ll requirements in legal-for-trade applications and contains practical features to simplify lab work, field testing, pharmaceutical compounding, jewelry measurement, cannabis production, and manufacturing tasks. Durable construction allows the Highland to stand up to demanding use in many environments. To ensure consistently precise readings, a removable draft shield helps eliminate disturbances in drafty areas. The Highland series is powered by an AC adapter or rechargeable battery for a feature-packed portable precision balance. Other features include multiple weighing units, RS-232 and USB interfaces, and capacity tracker.",,"Vivid, backlit LCD easily visible in any lighting conditions",Capacity tracker built into display for easily monitoring possible overloads,USB and RS-232 interfaces provide speedy communication with computers and printers,Audible overload alarm warns when capacity is exceeded,Three-point ShockProtect® feature helps prevent overload damage to internal components,Convenient hook for weighing below the balance,Removable draft shield helps reduce errors caused by air currents,,,,https://store-errhy7umuu.mybigcommerce.com/content/Adam%20Equipment%20Manuals/HCB/HCBaM%20Datasheet.pdf,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/HCB%20Manual.PDF,www.youtube.com/embed/oTTsznTnxvo,3 Years,5000 g,0.5,0.5 g,Yes,II,"4.7"" / 120 mm","g, ct, kg, lb, oz, ozt, GN",ABS plastic,External,,Backlit LCD,,,12VDC 800mA adapter / Internal rechargeable battery,Adam Equipment,"HCB 5001aM,1100,3083,1079,2716,1108,1111,154,658,657,1068",https://www.scalesplus.com/adam-equipment-highland-hcb-5001am-portable-precision-balance/,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1496/46799/adam-equipment-hcb-5001am-highland-portable-precision-balance-5000-g-x-0.5-g-ntep-class-ii__31499.1665795343.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1496/45885/adam-equipment-hcb-5001am-highland-portable-precision-balance-5000-g-x-0.5-g-ntep-class-ii__05810.1665793890.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1496/45627/adam-equipment-hcb-5001am-highland-portable-precision-balance-5000-g-x-0.5-g-ntep-class-ii__90869.1665793450.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1496/45341/adam-equipment-hcb-5001am-highland-portable-precision-balance-5000-g-x-0.5-g-ntep-class-ii__97045.1665792989.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1496/46337/adam-equipment-hcb-5001am-highland-portable-precision-balance-5000-g-x-0.5-g-ntep-class-ii__59177.1665794611.jpg?c=2,Weighing,Parts Counting,Percentage Weighing,Accumulation,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/NTEP%20CoC%2018-004.pdf,1 g,1 g,2 seconds or less,Removable draft shield,"0.7"" / 18 mm",15° to 35°C / 59° to 95°F,24 hours,4.4 lbs / 2 kg,"6.9"" x 9.9"" x 3.1"" / 174 x 252 x 80 mm","CE, cUL"
"Adam Equipment Highland HCB 1202aM Portable Precision Balance, 1200 g x 0.01 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1493/46231/adam-equipment-hcb-1202am-highland-portable-precision-balance-1200-g-x-0.01-g-ntep-class-ii__21353.1665794414.jpg?c=2,$765.00,$597.00,$168.00,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00",,"The NTEP-approved Adam Equipment Highland balance meets Class ll requirements in legal-for-trade applications and contains practical features to simplify lab work, field testing, pharmaceutical compounding, jewelry measurement, cannabis production, and manufacturing tasks. Durable construction allows the Highland to stand up to demanding use in many environments. To ensure consistently precise readings, a removable draft shield helps eliminate disturbances in drafty areas. The Highland series is powered by an AC adapter or rechargeable battery for a feature-packed portable precision balance. Other features include multiple weighing units, RS-232 and USB interfaces, and capacity tracker.",,"Vivid, backlit LCD easily visible in any lighting conditions",Capacity tracker built into display for easily monitoring possible overloads,USB and RS-232 interfaces provide speedy communication with computers and printers,Audible overload alarm warns when capacity is exceeded,Three-point ShockProtect® feature helps prevent overload damage to internal components,Convenient hook for weighing below the balance,Removable draft shield helps reduce errors caused by air currents,,,,https://store-errhy7umuu.mybigcommerce.com/content/Adam%20Equipment%20Manuals/HCB/HCBaM%20Datasheet.pdf,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/HCB%20Manual.PDF,www.youtube.com/embed/oTTsznTnxvo,3 Years,1200 g,0.01 g,0.1 g,Yes,II,"4.7"" / 120 mm","g, ct, kg, lb, oz, ozt, GN",ABS plastic,External,,Backlit LCD,,,12VDC 800mA adapter / Internal rechargeable battery,Adam Equipment,"HCB 1202aM,1100,3083,1079,2690,1108,1111,154,658,657,1068",https://www.scalesplus.com/adam-equipment-highland-hcb-1202am-portable-precision-balance/,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1493/46818/adam-equipment-hcb-1202am-highland-portable-precision-balance-1200-g-x-0.01-g-ntep-class-ii__65973.1665795361.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1493/46420/adam-equipment-hcb-1202am-highland-portable-precision-balance-1200-g-x-0.01-g-ntep-class-ii__40853.1665794693.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1493/46383/adam-equipment-hcb-1202am-highland-portable-precision-balance-1200-g-x-0.01-g-ntep-class-ii__20252.1665794657.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1493/45608/adam-equipment-hcb-1202am-highland-portable-precision-balance-1200-g-x-0.01-g-ntep-class-ii__92070.1665793431.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1493/45696/adam-equipment-hcb-1202am-highland-portable-precision-balance-1200-g-x-0.01-g-ntep-class-ii__19014.1665793519.jpg?c=2,Weighing,Parts Counting,Percentage Weighing,Accumulation,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/NTEP%20CoC%2018-004.pdf,0.02 g,0.02 g,2 seconds or less,Removable draft shield,"0.7"" / 18 mm",15° to 35°C / 59° to 95°F,24 hours,4.4 lbs / 2 kg,"6.9"" x 9.9"" x 3.1"" / 174 x 252 x 80 mm","CE, cUL"
"Rice Lake TE-623 Tuning Fork Precision Balance, 620 g X 0.001 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/7682/35974/rice-lake-weighing-systems-rice-lake-te-623-tuning-fork-precision-balance-620-g-x-0.001-g-ntep-class-ii__34696.1655245299.jpg?c=2,"$1,575.00","$1,496.25",$78.75,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00","Rice Lake TE Series TE-623 Tuning Fork Balance, NTEP Class II","Experience performance with Rice Lake’s enhanced TE Series balance.This NTEP approved balance creates an effortless user experience complete with a wide variety of functions, glass breeze break and configurable user keys. Equipped with Mono-Metal Tuning Fork Sensor (MMTS), the TE series brings remarkable response time and stability to many settings. The compact design of the TE Series balance makes it perfect for crowded work environments and portability. Powered by AC, AA batteries or USB, the TE series delivers convenience in a small package.","The TE series’ unique patented tuning fork technology provides stability with an extremely small margin of error. Cutting startup time by 90 percent, this technology eliminates the need for stabilization time while maintaining exceptional accuracy. The TE Series has remarkable programming flexibility with a large selection of modes to fit various weighing needs. Enhance productivity with functions such as unit count, percentage, gravimeter, statistics, animal, formulation and coefficient. The TE series adapts to any type of standard with the ability to weigh in 12 different measurement units providing superior performance.",External weight calibration,Seven-segment (main)/16-segment (sub) display,"Selectable modes: Weighing, Counting, Percentage, Coefficient, Specific Gravity, Statistics, Animal and Formulation",Mono-metal tuning fork technology (MMTF) provides quick response and stability,30-step bar graph display,"RS232, USB B",100-240 VAC adapter included,"AA dry-cell port, (150 hours continuous use with LCD backlight and communication signal ON)",Glass breeze break,NTEP Certified (COC 17-104),https://www.scalesplus.com/content/Rice%20Lake%20Manuals/Tuning%20Fork%20Balances/TE%20Series/TE%20Series%20Datasheet.pdf,https://www.scalesplus.com/content/Rice%20Lake%20Manuals/Tuning%20Fork%20Balances/TE%20Series/TE%20Series%20Manual.pdf,www.youtube.com/embed/ZvR8-XgF460,5 year manufacturer's limited warranty,620 g,0.001 g,0.01 g,Yes,II,4.6 in Dia.,"g, ct, oz, ozt, lb, dwt, gr, mm, bat, miligrams, Hong Kong Tael, Singapore Tael, Taiwan Tael, Malaysia Tael, tola","Plastic housing, stainless steel pan",Span with external weight,"RS232, USB B",Backlit LCD,10.6 in x 8.1 in x 11.8 in,NTEP CC 17-104,AC adapter,Rice Lake,TE-623,https://www.scalesplus.com/rice-lake-te-623-tuning-fork-precision-balance-620-g-x-0-001-g-ntep-class-ii/,,,,,,,,,,,,,,,,,,,,
"Adam Equipment Highland HCB 302aM Portable Precision Balance, 300 g x 0.05 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1491/45428/adam-equipment-hcb-302am-highland-portable-precision-balance-300-g-x-0.05-g-ntep-class-ii__38828.1665793080.jpg?c=2,$625.00,$488.00,$137.00,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00",,"The NTEP-approved Adam Equipment Highland balance meets Class ll requirements in legal-for-trade applications and contains practical features to simplify lab work, field testing, pharmaceutical compounding, jewelry measurement, cannabis production, and manufacturing tasks. Durable construction allows the Highland to stand up to demanding use in many environments. To ensure consistently precise readings, a removable draft shield helps eliminate disturbances in drafty areas. The Highland series is powered by an AC adapter or rechargeable battery for a feature-packed portable precision balance. Other features include multiple weighing units, RS-232 and USB interfaces, and capacity tracker.",,"Vivid, backlit LCD easily visible in any lighting conditions",Capacity tracker built into display for easily monitoring possible overloads,USB and RS-232 interfaces provide speedy communication with computers and printers,Audible overload alarm warns when capacity is exceeded,Three-point ShockProtect® feature helps prevent overload damage to internal components,Convenient hook for weighing below the balance,Removable draft shield helps reduce errors caused by air currents,,,,https://store-errhy7umuu.mybigcommerce.com/content/Adam%20Equipment%20Manuals/HCB/HCBaM%20Datasheet.pdf,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/HCB%20Manual.PDF,www.youtube.com/embed/oTTsznTnxvo,3 Years,300 g,0.05 g,0.05 g,Yes,II,"4.7"" / 120 mm","g, ct, kg, lb, oz, ozt, GN",ABS plastic,N/A,,Backlit LCD,,,12VDC 800mA adapter / Internal rechargeable battery,Adam Equipment,"HCB 302aM,1100,3083,2699,1079,1108,1111,154,658,657,1068",https://www.scalesplus.com/adam-equipment-highland-hcb-302am-portable-precision-balance/,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1491/46039/adam-equipment-hcb-302am-highland-portable-precision-balance-300-g-x-0.05-g-ntep-class-ii__73491.1665794133.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1491/46819/adam-equipment-hcb-302am-highland-portable-precision-balance-300-g-x-0.05-g-ntep-class-ii__22724.1665795362.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1491/45186/adam-equipment-hcb-302am-highland-portable-precision-balance-300-g-x-0.05-g-ntep-class-ii__67193.1665792742.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1491/45795/adam-equipment-hcb-302am-highland-portable-precision-balance-300-g-x-0.05-g-ntep-class-ii__29261.1665793709.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1491/46583/adam-equipment-hcb-302am-highland-portable-precision-balance-300-g-x-0.05-g-ntep-class-ii__85368.1665794947.jpg?c=2,Weighing,Parts Counting,Percentage Weighing,Accumulation,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/NTEP%20CoC%2018-004.pdf,0.1g,0.1g,2 seconds or less,Removable draft shield,"0.7"" / 18 mm",15° to 35°C / 59° to 95°F,24 hours,4.4 lbs / 2 kg,"6.9"" x 9.9"" x 3.1"" / 174 x 252 x 80 mm","CE, cUL"
"Adam Equipment Highland HCB 3001aM Portable Precision Balance, 3000 g x 0.5 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1495/45535/adam-equipment-hcb-3001am-highland-portable-precision-balance-3000-g-x-0.5-g-ntep-class-ii__76538.1665793272.jpg?c=2,$635.00,$495.00,$140.00,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00",,"The NTEP-approved Adam Equipment Highland balance meets Class ll requirements in legal-for-trade applications and contains practical features to simplify lab work, field testing, pharmaceutical compounding, jewelry measurement, cannabis production, and manufacturing tasks. Durable construction allows the Highland to stand up to demanding use in many environments. To ensure consistently precise readings, a removable draft shield helps eliminate disturbances in drafty areas. The Highland series is powered by an AC adapter or rechargeable battery for a feature-packed portable precision balance. Other features include multiple weighing units, RS-232 and USB interfaces, and capacity tracker.",,"Vivid, backlit LCD easily visible in any lighting conditions",Capacity tracker built into display for easily monitoring possible overloads,USB and RS-232 interfaces provide speedy communication with computers and printers,Audible overload alarm warns when capacity is exceeded,Three-point ShockProtect® feature helps prevent overload damage to internal components,Convenient hook for weighing below the balance,Removable draft shield helps reduce errors caused by air currents,,,,https://store-errhy7umuu.mybigcommerce.com/content/Adam%20Equipment%20Manuals/HCB/HCBaM%20Datasheet.pdf,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/HCB%20Manual.PDF,www.youtube.com/embed/oTTsznTnxvo,3 Years,3000 g,0.5 g,0.5g,Yes,II,"4.7"" / 120 mm","g, ct, kg, lb, oz, ozt, GN",ABS plastic,External,,Backlit LCD,,,12VDC 800mA adapter / Internal rechargeable battery,Adam Equipment,"HCB 3001aM,1100,3083,1079,2703,1108,1111,154,658,657,1068",https://www.scalesplus.com/adam-equipment-highland-hcb-3001am-portable-precision-balance/,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1495/45555/adam-equipment-hcb-3001am-highland-portable-precision-balance-3000-g-x-0.5-g-ntep-class-ii__94077.1665793293.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1495/45164/adam-equipment-hcb-3001am-highland-portable-precision-balance-3000-g-x-0.5-g-ntep-class-ii__60312.1665792719.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1495/46877/adam-equipment-hcb-3001am-highland-portable-precision-balance-3000-g-x-0.5-g-ntep-class-ii__63427.1665795417.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1495/45899/adam-equipment-hcb-3001am-highland-portable-precision-balance-3000-g-x-0.5-g-ntep-class-ii__07807.1665793905.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1495/45647/adam-equipment-hcb-3001am-highland-portable-precision-balance-3000-g-x-0.5-g-ntep-class-ii__65588.1665793470.jpg?c=2,Weighing,Parts Counting,Percentage Weighing,Accumulation,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/NTEP%20CoC%2018-004.pdf,1 g,1 g,2 seconds or less,Removable draft shield,"0.7"" / 18 mm",15° to 35°C / 59° to 95°F,24 hours,4.4 lbs / 2 kg,"6.9"" x 9.9"" x 3.1"" / 174 x 252 x 80 mm","CE, cUL"
"Adam Equipment Highland HCB 602aM Portable Precision Balance, 600 g x 0.01 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1492/45225/adam-equipment-hcb-602am-highland-portable-precision-balance-600-g-x-0.01-g-ntep-class-ii__05299.1665792785.jpg?c=2,$655.00,$511.00,$144.00,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00",,"The NTEP-approved Adam Equipment Highland balance meets Class ll requirements in legal-for-trade applications and contains practical features to simplify lab work, field testing, pharmaceutical compounding, jewelry measurement, cannabis production, and manufacturing tasks. Durable construction allows the Highland to stand up to demanding use in many environments. To ensure consistently precise readings, a removable draft shield helps eliminate disturbances in drafty areas. The Highland series is powered by an AC adapter or rechargeable battery for a feature-packed portable precision balance. Other features include multiple weighing units, RS-232 and USB interfaces, and capacity tracker.",,"Vivid, backlit LCD easily visible in any lighting conditions",Capacity tracker built into display for easily monitoring possible overloads,USB and RS-232 interfaces provide speedy communication with computers and printers,Audible overload alarm warns when capacity is exceeded,Three-point ShockProtect® feature helps prevent overload damage to internal components,Convenient hook for weighing below the balance,Removable draft shield helps reduce errors caused by air currents,,,,https://store-errhy7umuu.mybigcommerce.com/content/Adam%20Equipment%20Manuals/HCB/HCBaM%20Datasheet.pdf,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/HCB%20Manual.PDF,www.youtube.com/embed/oTTsznTnxvo,3 Years,600 g,0.01 g,0.1g,Yes,II,"4.7"" / 120 mm","g, ct, kg, lb, oz, ozt, GN",ABS plastic,External,,Backlit LCD,,,12VDC 800mA adapter / Internal rechargeable battery,Adam Equipment,"HCB 602aM,1100,3083,1079,2714,1108,1111,154,658,657,1068",https://www.scalesplus.com/adam-equipment-highland-hcb-602am-portable-precision-balance/,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1492/46329/adam-equipment-hcb-602am-highland-portable-precision-balance-600-g-x-0.01-g-ntep-class-ii__95472.1665794513.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1492/47046/adam-equipment-hcb-602am-highland-portable-precision-balance-600-g-x-0.01-g-ntep-class-ii__20430.1665795686.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1492/45853/adam-equipment-hcb-602am-highland-portable-precision-balance-600-g-x-0.01-g-ntep-class-ii__93069.1665793766.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1492/46000/adam-equipment-hcb-602am-highland-portable-precision-balance-600-g-x-0.01-g-ntep-class-ii__59777.1665794006.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1492/45552/adam-equipment-hcb-602am-highland-portable-precision-balance-600-g-x-0.01-g-ntep-class-ii__55854.1665793289.jpg?c=2,Weighing,Parts Counting,Percentage Weighing,Accumulation,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/NTEP%20CoC%2018-004.pdf,0.02 g,0.02 g,2 seconds or less,Removable draft shield,"0.7"" / 18 mm",15° to 35°C / 59° to 95°F,24 hours,4.4 lbs / 2 kg,"6.9"" x 9.9"" x 3.1"" / 174 x 252 x 80 mm","CE, cUL"
"Adam Equipment Highland HCB 103aM Portable Precision Balance, 100 g x 0.001 g, NTEP Class II",https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1479/46922/adam-equipment-hcb-103am-highland-portable-precision-balance-100-g-x-0.001-g-ntep-class-ii__34798.1665795460.jpg?c=2,$745.00,$581.00,$164.00,None,"NIST Traceable Calibration, $129.00","ISO 17025:2017 Accredited Calibration, $199.00",,"The NTEP-approved Adam Equipment Highland balance meets Class ll requirements in legal-for-trade applications and contains practical features to simplify lab work, field testing, pharmaceutical compounding, jewelry measurement, cannabis production, and manufacturing tasks. Durable construction allows the Highland to stand up to demanding use in many environments. To ensure consistently precise readings, a removable draft shield helps eliminate disturbances in drafty areas. The Highland series is powered by an AC adapter or rechargeable battery for a feature-packed portable precision balance. Other features include multiple weighing units, RS-232 and USB interfaces, and capacity tracker.",,"Vivid, backlit LCD easily visible in any lighting conditions ",Capacity tracker built into display for easily monitoring possible overloads ,USB and RS-232 interfaces provide speedy communication with computers and printers ,Audible overload alarm warns when capacity is exceeded,Three-point ShockProtect® feature helps prevent overload damage to internal components ,Convenient hook for weighing below the balance,Removable draft shield helps reduce errors caused by air currents,,,,https://store-errhy7umuu.mybigcommerce.com/content/Adam%20Equipment%20Manuals/HCB/HCBaM%20Datasheet.pdf,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/HCB%20Manual.PDF,www.youtube.com/embed/oTTsznTnxvo,3 Years,100 g,0.001 g,0.01 g,Yes,II,"4.7"" / 120 mm","g, ct, kg, lb, oz, ozt, GN",ABS plastic,N/A,,Backlit LCD,,CC 18-004,12VDC 800mA adapter / Internal rechargeable battery,Adam Equipment,HCB 103aM,https://www.scalesplus.com/adam-equipment-highland-hcb-103am-portable-precision-balance/,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1479/46937/adam-equipment-hcb-103am-highland-portable-precision-balance-100-g-x-0.001-g-ntep-class-ii__56074.1665795571.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1479/45231/adam-equipment-hcb-103am-highland-portable-precision-balance-100-g-x-0.001-g-ntep-class-ii__91749.1665792791.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1479/45331/adam-equipment-hcb-103am-highland-portable-precision-balance-100-g-x-0.001-g-ntep-class-ii__67522.1665792978.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1479/46168/adam-equipment-hcb-103am-highland-portable-precision-balance-100-g-x-0.001-g-ntep-class-ii__42988.1665794260.jpg?c=2,https://cdn11.bigcommerce.com/s-errhy7umuu/images/stencil/1280x1280/products/1479/46775/adam-equipment-hcb-103am-highland-portable-precision-balance-100-g-x-0.001-g-ntep-class-ii__43295.1665795230.jpg?c=2,Weighing,Parts Counting,Percentage Weighing,Accumulation,https://www.scalesplus.com/content/Adam%20Equipment%20Manuals/HCB/NTEP%20CoC%2018-004.pdf,0.002 g,0.003 g,2 seconds or less,Removable draft shield,"0.7"" / 18 mm",15° to 35°C / 59° to 95°F,24 hours,4.4 lbs / 2 kg,"6.9"" x 9.9"" x 3.1"" / 174 x 252 x 80 mm","CE, cUL"
